appliance_code,power_watts,duration_minutes,is_night,is_occupied,temp_setting,energy_kwh
1,9800.0,21,1,1,17.1,3.43
4,7185.0,40,1,0,20.7,4.79
1,1962.6168224299065,107,0,1,20.3,3.5
1,1581.25,96,0,0,15.4,2.53
5,528.440366972477,109,1,1,15.2,0.96
2,3788.5714285714284,70,1,1,19.2,4.42
5,7552.941176470589,34,0,0,17.9,4.28
2,3811.764705882353,17,0,1,23.2,1.08
2,1074.6268656716418,67,0,1,22.6,1.2
2,2637.2093023255816,43,0,1,20.7,1.89
0,835.4430379746835,79,1,0,15.9,1.1
4,2423.076923076923,104,0,0,18.2,4.2
2,147.45762711864407,118,0,1,22.8,0.29
2,122400.0,1,0,1,21.7,2.04
4,3720.0,60,0,0,19.5,3.72
2,600.0,96,0,0,16.8,0.96
3,552.9411764705883,102,0,1,18.8,0.94
5,2444.68085106383,94,0,1,19.8,3.83
2,3900.0,38,0,0,15.8,2.47
5,4135.714285714285,56,0,1,21.0,3.86
3,1586.5384615384614,104,0,1,23.4,2.75
1,14431.578947368422,19,0,0,18.8,4.57
0,5016.666666666667,36,0,0,22.9,3.01
2,211.76470588235293,51,1,0,17.7,0.18
4,3007.1428571428573,84,0,1,21.8,4.21
5,10178.57142857143,28,0,1,20.4,4.75
5,2140.0,90,0,1,22.3,3.21
0,2700.0,8,0,0,17.1,0.36
5,20600.0,12,0,1,21.9,4.12
4,5894.117647058823,17,0,1,24.5,1.67
2,2967.032967032967,91,0,1,21.0,4.5
2,2229.3577981651374,109,0,0,21.9,4.05
5,3942.8571428571427,21,0,0,21.6,1.38
5,2741.860465116279,86,1,0,23.9,3.93
2,2533.3333333333335,108,0,0,23.9,4.56
2,2163.4615384615386,104,0,0,22.1,3.75
0,5512.5,32,0,0,17.8,2.94
2,4026.315789473684,38,1,0,24.7,2.55
5,8040.0,5,1,0,15.6,0.67
5,2625.0,24,0,0,21.7,1.05
1,1903.225806451613,93,0,1,22.9,2.95
2,2181.0810810810813,74,0,1,15.3,2.69
1,14945.454545454546,11,0,1,18.5,2.74
0,5136.000000000001,50,0,1,22.7,4.28
3,7302.857142857143,35,0,1,23.2,4.26
5,9240.0,30,1,0,18.6,4.62
2,10320.0,25,0,0,17.1,4.3
5,912.8205128205128,117,1,1,23.3,1.78
4,9750.0,8,0,1,18.1,1.3
3,391.30434782608694,92,0,0,24.4,0.6
1,283.8709677419355,93,1,0,23.9,0.44
3,187200.0,1,0,1,21.6,3.12
3,1725.9259259259259,81,0,1,18.9,2.33
4,3082.7586206896553,58,1,0,16.8,2.98
3,2789.6103896103896,77,1,1,16.5,3.58
0,10220.689655172413,29,1,1,15.7,4.94
5,69900.0,4,0,0,16.8,4.66
1,922.6415094339623,106,1,0,23.8,1.63
0,4014.705882352941,68,0,1,22.9,4.55
2,3442.8571428571427,42,1,1,17.6,2.41
4,5762.790697674419,43,0,0,19.4,4.13
4,276.9230769230769,52,0,0,22.5,0.24
1,9156.521739130434,23,0,1,24.9,3.51
0,4820.338983050848,59,1,0,23.4,4.74
0,57.391304347826086,115,1,1,18.5,0.11
5,2377.570093457944,107,1,0,23.6,4.24
1,2413.483146067416,89,0,1,16.1,3.58
4,52320.00000000001,5,0,0,22.9,4.36
3,1435.7142857142858,112,1,1,17.5,2.68
2,1700.0,18,0,0,22.6,0.51
0,600.0,89,0,0,16.3,0.89
1,1210.7142857142858,112,0,1,21.6,2.26
5,30360.0,5,1,0,15.3,2.53
0,1114.2857142857142,35,1,1,18.1,0.65
5,3473.684210526316,76,0,1,15.1,4.4
0,8185.714285714285,28,1,0,18.9,3.82
3,326.2135922330097,103,0,0,20.7,0.56
1,1528.421052631579,95,1,0,17.7,2.42
3,421.15384615384613,104,0,1,22.5,0.73
1,2695.0819672131147,61,1,0,16.1,2.74
5,1485.3658536585365,82,0,1,23.0,2.03
0,902.7522935779816,109,0,0,17.9,1.64
0,1233.3333333333333,108,1,1,23.1,2.22
2,3536.0,75,0,0,18.0,4.42
5,6855.0,40,0,0,21.5,4.57
4,8760.0,25,0,0,17.8,3.65
1,375.0,40,0,0,18.8,0.25
1,2487.2727272727275,110,0,1,24.6,4.56
3,1623.5294117647059,17,0,0,19.7,0.46
0,265.38461538461536,52,0,1,19.5,0.23
4,1984.6153846153845,65,1,0,20.9,2.15
0,6490.909090909091,22,0,0,24.8,2.38
3,192.59259259259258,81,0,1,17.1,0.26
3,1437.6237623762377,101,0,0,16.5,2.42
1,15568.421052631578,19,1,0,18.7,4.93
2,643.6363636363636,110,0,0,17.0,1.18
0,3197.0149253731342,67,0,1,18.6,3.57
1,1857.391304347826,115,0,1,23.6,3.56
1,221.35922330097088,103,1,0,17.7,0.38
5,6107.142857142857,28,0,0,21.5,2.85
4,1031.25,96,0,0,20.8,1.65
0,3732.352941176471,68,1,0,16.9,4.23
5,2381.25,64,1,0,19.7,2.54
0,2868.9655172413795,87,0,1,17.7,4.16
4,2911.764705882353,34,1,1,16.3,1.65
4,2641.6666666666665,72,1,1,17.9,3.17
1,4200.0,9,1,1,24.3,0.63
4,4222.641509433963,53,1,1,22.3,3.73
3,955.3398058252427,103,0,1,19.4,1.64
5,11863.636363636362,22,0,0,23.7,4.35
2,5448.0,25,0,1,16.9,2.27
0,2976.0,75,0,0,22.4,3.72
2,3147.945205479452,73,1,1,24.1,3.83
1,2883.116883116883,77,1,0,24.4,3.7
5,9000.0,23,0,0,24.4,3.45
2,2071.2328767123286,73,1,1,22.6,2.52
2,61600.0,3,0,0,19.1,3.08
2,846.0,100,1,1,22.8,1.41
2,1743.2432432432433,74,1,1,24.8,2.15
0,3170.0,60,0,1,16.3,3.17
1,3130.4347826086955,92,1,1,15.9,4.8
2,4984.615384615385,39,0,0,21.4,3.24
2,1633.3333333333333,18,0,1,16.4,0.49
0,1724.3243243243244,111,0,0,18.2,3.19
3,1063.6363636363637,66,0,1,20.9,1.17
0,1723.404255319149,47,0,1,22.1,1.35
1,2591.2087912087914,91,0,1,15.6,3.93
0,2314.2857142857147,112,1,0,23.4,4.32
1,2225.3164556962024,79,0,0,23.6,2.93
0,1675.2475247524753,101,0,1,16.5,2.82
2,1690.0,60,0,1,16.3,1.69
1,5400.0,7,0,1,20.0,0.63
5,1584.9056603773586,106,1,1,23.9,2.8
1,93000.0,2,0,0,21.2,3.1
3,623.3009708737865,103,0,1,24.4,1.07
4,179.31034482758622,87,0,0,19.3,0.26
5,2400.0,98,1,0,23.0,3.92
4,615.3846153846154,39,0,0,22.0,0.4
3,4261.224489795918,49,0,0,18.5,3.48
1,1440.0,65,0,1,22.0,1.56
1,11713.04347826087,23,1,0,18.4,4.49
2,8492.307692307691,13,0,1,21.1,1.84
5,1189.8305084745762,118,1,0,17.9,2.34
3,18600.0,5,0,0,20.4,1.55
0,248.78048780487805,41,1,0,22.3,0.17
3,1042.622950819672,61,0,0,19.6,1.06
0,2920.754716981132,53,1,0,16.5,2.58
2,2253.6585365853657,41,1,1,21.9,1.54
1,2795.454545454545,88,0,0,21.5,4.1
3,3674.074074074074,81,1,1,22.2,4.96
2,9200.0,18,1,1,15.8,2.76
5,931.578947368421,114,1,0,16.8,1.77
0,3918.7499999999995,64,0,0,18.5,4.18
3,2367.5675675675675,111,1,0,21.6,4.38
2,2240.625,64,0,0,22.8,2.39
3,2243.478260869565,69,1,1,15.6,2.58
2,32640.0,5,0,1,21.7,2.72
1,3830.7692307692314,65,0,0,18.8,4.15
0,5706.382978723404,47,0,1,19.2,4.47
4,4866.666666666667,9,1,1,16.2,0.73
1,3268.6567164179105,67,1,0,22.7,3.65
3,4361.538461538462,26,0,1,22.0,1.89
4,5778.9473684210525,19,0,0,23.4,1.83
3,986.8421052631579,76,0,1,20.0,1.25
4,1382.0224719101122,89,0,0,19.1,2.05
4,4923.076923076923,39,0,0,17.4,3.2
1,1536.5853658536585,41,0,0,21.5,1.05
1,2950.0,60,0,1,23.7,2.95
3,7687.499999999999,16,1,1,21.1,2.05
3,14580.0,10,0,0,15.7,2.43
1,1692.6315789473683,95,0,0,21.6,2.68
0,3138.4615384615386,13,0,1,17.1,0.68
3,26925.0,8,1,1,19.9,3.59
3,2045.4545454545455,88,0,1,24.2,3.0
3,280.0,60,0,1,15.2,0.28
4,12514.285714285714,21,1,0,19.3,4.38
1,911.6883116883117,77,1,0,22.2,1.17
5,6047.368421052632,38,0,1,15.4,3.83
4,836.9747899159664,119,0,1,23.2,1.66
2,1164.406779661017,118,1,0,22.9,2.29
3,1525.0,24,0,1,23.9,0.61
3,6924.324324324323,37,0,0,15.5,4.27
4,69.64285714285714,112,1,1,22.8,0.13
2,958.974358974359,117,1,0,18.6,1.87
2,7371.428571428572,7,0,1,19.8,0.86
5,1576.9230769230767,78,0,1,21.0,2.05
4,4920.0,60,1,0,17.6,4.92
3,5445.0,40,0,0,20.0,3.63
4,1934.6938775510205,49,1,1,23.5,1.58
5,2619.0476190476193,63,1,0,16.6,2.75
1,4902.4390243902435,41,0,0,21.8,3.35
5,2600.0,12,0,1,22.7,0.52
1,64600.0,3,0,0,16.0,3.23
0,3614.6341463414633,41,1,1,17.0,2.47
5,881.081081081081,111,0,0,23.5,1.63
4,939.3939393939394,99,1,0,22.2,1.55
3,3150.0,68,1,1,23.2,3.57
1,490.90909090909093,99,1,0,15.8,0.81
1,1552.3809523809523,63,0,1,21.4,1.63
4,14160.0,20,1,0,15.3,4.72
3,2884.6153846153848,26,0,1,20.4,1.25
5,855.5555555555555,108,1,0,21.9,1.54
4,2677.5,80,1,1,16.4,3.57
0,4572.972972972973,37,1,0,22.8,2.82
1,88.07339449541284,109,0,1,15.4,0.16
0,3800.0,15,0,1,16.1,0.95
2,4837.5,32,0,1,22.8,2.58
2,6900.0,8,0,0,20.7,0.92
0,1680.0,25,1,0,23.1,0.7
2,5800.0,27,1,0,20.6,2.61
1,1891.5254237288136,59,0,0,16.5,1.86
2,4685.714285714285,21,0,1,21.2,1.64
3,4716.0,50,1,0,23.4,3.93
2,3131.25,64,0,0,16.6,3.34
0,252.6315789473684,76,1,0,23.4,0.32
0,242.10526315789474,57,0,0,24.9,0.23
0,24466.666666666668,9,0,0,22.9,3.67
3,264.51612903225805,93,0,1,20.1,0.41
5,12654.545454545454,11,1,0,15.2,2.32
1,481.57894736842104,76,1,1,21.7,0.61
1,637.5,96,1,0,20.9,1.02
1,4455.0,40,1,0,20.8,2.97
3,3017.6470588235293,34,1,0,20.0,1.71
5,2114.285714285714,84,0,0,20.4,2.96
2,9933.333333333334,9,1,0,15.9,1.49
3,5755.555555555556,27,0,0,15.5,2.59
5,2760.0,75,0,1,16.7,3.45
3,730.4347826086956,92,1,0,17.9,1.12
1,3995.4545454545455,44,1,1,21.2,2.93
0,1242.857142857143,112,0,1,22.7,2.32
2,7608.0,25,0,0,22.9,3.17
0,2653.846153846154,78,0,1,17.3,3.45
3,1200.0,33,1,0,22.6,0.66
2,939.1304347826087,92,1,0,19.7,1.44
0,2472.7272727272725,99,1,0,21.7,4.08
5,2114.285714285714,84,1,1,24.4,2.96
5,374.19354838709677,93,0,0,17.8,0.58
0,7977.777777777777,27,0,0,17.6,3.59
4,350.4950495049505,101,0,1,23.6,0.59
5,2356.0975609756097,82,1,1,15.2,3.22
1,2337.9310344827586,29,1,0,15.5,1.13
1,2202.8571428571427,70,0,1,21.1,2.57
5,44100.0,4,1,1,18.1,2.94
3,555.3191489361702,94,0,1,16.5,0.87
0,1894.7368421052631,76,0,1,22.6,2.4
5,1695.9183673469388,98,0,1,21.6,2.77
0,4325.806451612903,62,0,0,17.3,4.47
5,3151.807228915663,83,0,0,15.2,4.36
5,3611.764705882353,51,0,0,21.3,3.07
4,2905.2631578947367,19,0,0,20.6,0.92
4,4172.727272727273,22,0,1,22.5,1.53
2,2023.2558139534883,86,1,0,22.0,2.9
0,499.009900990099,101,0,1,21.7,0.84
5,506.25,96,1,0,18.5,0.81
0,2202.3529411764707,85,1,1,18.8,3.12
1,2302.3255813953488,86,0,0,23.1,3.3
4,2388.8888888888887,108,1,0,17.3,4.3
3,3109.8591549295775,71,0,0,21.7,3.68
3,778.021978021978,91,1,0,21.9,1.18
1,1618.4210526315787,76,1,0,16.0,2.05
3,1455.4455445544554,101,0,0,22.9,2.45
0,1372.5,80,0,1,22.2,1.83
0,4853.571428571428,56,1,1,15.6,4.53
0,10971.42857142857,21,1,1,22.7,3.84
3,1278.2608695652175,46,1,1,24.2,0.98
3,3184.6153846153848,13,0,0,18.1,0.69
0,1194.9579831932774,119,1,0,21.2,2.37
3,412.9032258064516,93,0,0,22.8,0.64
2,18080.0,15,0,0,16.2,4.52
2,3049.3150684931506,73,1,0,16.6,3.71
1,11800.0,12,1,1,23.1,2.36
1,4968.421052631579,57,0,0,21.5,4.72
4,40800.0,6,1,1,19.7,4.08
2,546.0674157303371,89,0,1,16.5,0.81
3,7547.368421052632,38,0,0,18.2,4.78
4,13800.0,20,0,1,17.6,4.6
3,3295.2380952380954,63,1,0,21.2,3.46
1,1015.3846153846154,13,0,1,18.7,0.22
3,1006.1538461538463,65,0,1,19.6,1.09
3,505.2631578947368,57,1,0,22.5,0.48
2,5680.0,30,0,1,24.2,2.84
5,14700.0,4,0,0,21.4,0.98
1,44400.0,2,0,0,17.6,1.48
1,1047.0588235294117,102,1,1,21.3,1.78
2,305.08474576271186,59,0,0,22.1,0.3
3,2336.283185840708,113,0,1,16.8,4.4
1,2317.2413793103447,116,1,1,15.2,4.48
2,2372.7272727272725,88,0,0,17.1,3.48
1,3362.7906976744184,43,1,0,20.3,2.41
3,3044.4444444444443,27,0,0,22.1,1.37
0,81.35593220338983,118,1,1,16.7,0.16
0,21800.000000000004,12,0,0,21.6,4.36
5,2992.2077922077924,77,0,1,23.9,3.84
3,4950.0,48,1,1,18.8,3.96
3,4846.153846153846,26,1,0,17.4,2.1
2,1190.7692307692307,65,0,1,21.9,1.29
5,1793.6842105263158,95,0,0,21.3,2.84
0,3566.0377358490564,53,0,1,23.2,3.15
2,128.08988764044943,89,1,1,21.3,0.19
3,1251.4285714285713,105,0,0,23.9,2.19
0,258.13953488372096,86,0,0,19.2,0.37
5,260.17699115044246,113,0,0,15.2,0.49
2,3240.0,75,1,1,19.9,4.05
4,8322.58064516129,31,0,1,19.7,4.3
3,3815.6250000000005,64,0,0,17.6,4.07
5,1693.2203389830509,118,0,1,17.8,3.33
0,15000.0,16,1,0,15.9,4.0
2,2241.509433962264,106,1,1,19.2,3.96
2,1276.923076923077,39,0,1,19.6,0.83
4,420.5128205128205,117,0,0,18.7,0.82
4,5626.415094339623,53,0,0,22.6,4.97
2,372.22222222222223,108,0,1,24.8,0.67
3,43560.0,5,1,0,22.8,3.63
4,2012.3076923076926,65,0,0,15.5,2.18
2,5190.697674418605,43,0,0,16.4,3.72
0,1338.4615384615386,13,1,1,23.0,0.29
4,69300.0,4,1,1,20.5,4.62
4,3654.5454545454545,22,0,1,15.1,1.34
1,3194.5945945945946,74,1,0,16.0,3.94
1,600.0,81,0,1,17.3,0.81
1,2504.3478260869565,92,0,1,15.4,3.84
2,2092.1052631578946,76,1,1,21.8,2.65
4,1135.1351351351352,74,0,1,20.1,1.4
1,1709.6774193548388,93,0,0,23.6,2.65
5,2349.0566037735853,106,0,1,15.8,4.15
0,2471.186440677966,118,1,1,23.3,4.86
5,2251.4285714285716,105,1,1,15.9,3.94
3,12720.0,20,0,1,17.8,4.24
3,14900.0,12,0,0,15.4,2.98
2,248.57142857142858,70,0,0,23.9,0.29
1,5309.433962264151,53,0,0,18.3,4.69
2,5282.35294117647,51,1,1,22.3,4.49
1,1130.0970873786407,103,0,1,18.4,1.94
3,6735.0,40,1,0,21.4,4.49
5,2958.139534883721,43,0,1,22.8,2.12
3,10350.0,4,1,1,16.6,0.69
4,2038.0952380952383,63,0,0,22.1,2.14
0,1215.126050420168,119,1,0,23.8,2.41
4,6360.0,10,0,1,21.1,1.06
2,15000.0,15,0,1,23.2,3.75
2,657.1428571428571,84,1,1,20.7,0.92
1,5481.818181818181,22,0,1,18.7,2.01
0,5033.8983050847455,59,0,0,17.4,4.95
5,4844.444444444445,27,1,1,21.8,2.18
5,1913.6842105263158,95,0,1,20.7,3.03
4,1083.495145631068,103,0,1,23.6,1.86
4,3380.487804878049,41,0,0,18.4,2.31
0,3559.090909090909,44,1,0,16.1,2.61
5,620.0,30,1,1,21.8,0.31
5,2493.577981651376,109,0,0,19.4,4.53
4,4400.0,66,0,1,21.3,4.84
0,7200.0,40,1,1,16.0,4.8
0,391.52542372881356,118,0,1,22.1,0.77
3,1250.0,48,0,0,22.5,1.0
2,3634.285714285714,70,1,0,24.5,4.24
4,11785.714285714286,14,0,0,24.4,2.75
0,7100.0,6,1,0,21.6,0.71
4,1191.7808219178082,73,0,0,19.4,1.45
0,352.29357798165137,109,1,1,17.8,0.64
3,1800.0,100,0,0,19.8,3.0
2,1084.3373493975903,83,0,0,18.6,1.5
4,473.6842105263158,57,1,1,21.3,0.45
3,501.6393442622951,61,0,1,19.1,0.51
4,307.9646017699115,113,0,1,18.2,0.58
3,16087.5,16,0,1,19.1,4.29
5,3768.7499999999995,64,0,0,22.6,4.02
2,428.57142857142856,35,0,1,16.6,0.25
5,11181.81818181818,22,1,1,16.2,4.1
1,3349.9999999999995,72,1,1,20.4,4.02
0,7800.0,4,0,0,23.3,0.52
3,18600.0,11,1,1,16.7,3.41
0,1064.7887323943662,71,0,0,24.9,1.26
0,5052.631578947368,38,1,0,15.5,3.2
0,6145.945945945946,37,1,0,18.8,3.79
1,1694.7368421052631,114,0,0,21.2,3.22
3,1521.6494845360826,97,0,0,17.5,2.46
2,1882.5688073394494,109,1,1,15.1,3.42
0,876.9230769230769,91,0,0,21.8,1.33
0,4811.111111111111,54,0,0,15.2,4.33
3,1144.1860465116279,43,0,0,16.8,0.82
5,3166.6666666666665,90,1,0,22.4,4.75
5,1734.065934065934,91,0,0,23.6,2.63
3,1921.4285714285713,84,0,1,16.2,2.69
2,3658.5365853658536,41,1,0,15.3,2.5
2,53280.0,5,1,1,19.8,4.44
3,2907.6923076923076,78,0,0,19.8,3.78
2,1625.8064516129032,93,0,1,17.3,2.52
4,1762.5,48,1,1,23.7,1.41
3,4116.0,50,1,0,15.9,3.43
5,5865.306122448979,49,1,1,19.3,4.79
4,1811.214953271028,107,0,1,21.0,3.23
3,2729.6703296703295,91,1,1,24.7,4.14
2,2416.822429906542,107,0,1,15.7,4.31
3,995.4545454545455,88,0,1,15.2,1.46
3,3263.4146341463415,41,0,0,22.7,2.23
1,229.41176470588235,34,1,0,22.7,0.13
0,9800.0,9,0,0,18.9,1.47
5,1434.1463414634147,41,0,0,16.6,0.98
3,5142.857142857143,7,0,1,19.7,0.6
0,3054.5454545454545,88,0,0,20.7,4.48
0,1727.5862068965516,58,0,0,16.3,1.67
1,1913.7931034482758,116,1,0,23.5,3.7
0,46600.0,3,1,0,23.8,2.33
0,952.5773195876288,97,1,1,20.3,1.54
2,2835.294117647059,102,1,1,20.6,4.82
2,175.2212389380531,113,0,0,15.2,0.33
0,1358.2417582417581,91,0,0,15.0,2.06
4,830.0,60,0,0,15.8,0.83
4,672.7272727272727,99,1,1,16.9,1.11
4,2786.301369863014,73,0,1,23.0,3.39
1,3851.1627906976746,43,1,1,21.1,2.76
0,6660.0,20,0,0,24.7,2.22
3,77.41935483870968,93,0,0,22.2,0.12
5,87.5,96,1,1,17.4,0.14
3,260.8695652173913,46,0,1,20.2,0.2
1,2423.529411764706,51,1,0,16.7,2.06
0,5808.0,25,1,1,15.3,2.42
5,3673.684210526316,57,0,1,24.8,3.49
2,707.8651685393259,89,0,0,22.4,1.05
3,528.440366972477,109,0,0,16.0,0.96
2,3232.9411764705883,85,0,1,18.8,4.58
3,11739.130434782608,23,1,0,16.3,4.5
1,8868.75,32,0,1,17.8,4.73
2,55500.0,2,0,1,23.2,1.85
3,2889.4736842105262,76,0,0,17.9,3.66
1,252.0,50,0,0,18.2,0.21
5,12814.285714285714,14,0,1,20.0,2.99
2,1387.1559633027523,109,1,1,22.4,2.52
1,19200.0,7,1,1,15.8,2.24
0,34200.0,1,1,1,23.1,0.57
3,3545.4545454545455,55,0,1,19.9,3.25
2,3312.676056338028,71,0,1,19.7,3.92
3,1369.4117647058824,85,0,1,23.5,1.94
4,5192.307692307692,52,0,1,19.9,4.5
5,19725.0,8,0,1,16.9,2.63
3,3630.0,60,0,1,18.7,3.63
5,5090.909090909091,33,0,0,17.4,2.8
1,4037.2881355932204,59,1,0,24.1,3.97
4,634.6153846153846,52,0,0,19.3,0.55
0,1810.1694915254238,118,0,0,22.3,3.56
1,10930.434782608698,23,0,1,22.7,4.19
0,1930.4347826086957,23,0,1,19.8,0.74
0,73200.0,3,1,0,21.9,3.66
0,5246.808510638299,47,1,0,22.6,4.11
2,2456.7567567567567,74,0,1,20.9,3.03
0,960.0,65,0,0,22.8,1.04
1,122.58064516129032,93,1,0,15.7,0.19
2,28500.0,6,1,1,24.0,2.85
0,2074.6987951807228,83,1,1,22.3,2.87
5,6255.31914893617,47,1,1,23.1,4.9
3,7869.2307692307695,26,0,0,19.2,3.41
4,1340.5405405405406,111,0,1,18.1,2.48
3,6251.612903225807,31,0,1,17.3,3.23
2,5314.285714285715,42,0,0,24.4,3.72
1,1100.0,66,0,1,17.1,1.21
0,1965.2173913043478,69,0,1,24.9,2.26
5,579.0697674418604,86,0,0,16.8,0.83
1,5083.333333333333,36,1,0,21.5,3.05
3,15100.0,12,0,0,15.5,3.02
1,4574.999999999999,56,1,1,22.4,4.27
2,2979.310344827586,29,1,0,20.1,1.44
3,3171.4285714285716,84,0,0,17.5,4.44
5,1978.8461538461538,104,1,1,15.8,3.43
3,3000.0,75,1,0,22.0,3.75
5,960.0,45,0,0,15.8,0.72
4,1046.6666666666667,90,0,0,18.8,1.57
1,1081.578947368421,76,0,1,17.4,1.37
0,212.06896551724137,116,1,1,17.0,0.41
2,1918.3098591549297,71,0,1,16.7,2.27
0,882.3529411764706,68,0,0,24.7,1.0
4,50400.0,5,0,1,19.3,4.2
1,1996.875,64,0,1,18.0,2.13
5,412.04819277108436,83,0,1,16.3,0.57
2,900.0,20,0,0,21.5,0.3
1,2237.837837837838,74,0,0,24.6,2.76
1,2769.8630136986303,73,0,0,21.5,3.37
0,5415.789473684211,38,1,0,19.0,3.43
3,15966.666666666666,18,0,1,15.3,4.79
5,5068.421052631579,38,1,1,17.3,3.21
0,5221.621621621622,37,0,0,23.9,3.22
5,12756.521739130434,23,0,0,16.2,4.89
1,2865.5172413793102,58,0,1,22.1,2.77
3,2057.8947368421054,114,0,0,18.4,3.91
3,6391.304347826087,23,0,1,17.0,2.45
4,310.5882352941176,85,0,0,18.4,0.44
3,9475.862068965518,29,1,0,15.7,4.58
5,9520.0,15,1,1,16.3,2.38
5,6833.333333333332,18,1,0,23.9,2.05
2,1778.0487804878048,82,1,1,21.1,2.43
3,600.0,103,1,0,24.0,1.03
1,2033.3333333333333,54,0,1,21.7,1.83
3,2981.818181818182,33,0,0,15.0,1.64
2,35640.0,5,0,0,23.9,2.97
0,1984.6153846153845,91,1,0,22.4,3.01
3,6965.8536585365855,41,0,1,19.0,4.76
5,1467.5675675675675,74,0,0,22.5,1.81
3,1717.2413793103449,87,0,1,18.0,2.49
2,12900.0,16,0,1,23.5,3.44
5,4468.6567164179105,67,0,1,19.7,4.99
5,6600.0,43,0,1,19.5,4.73
1,2901.818181818182,55,0,1,23.1,2.66
0,3019.3548387096776,62,0,1,22.7,3.12
0,25950.0,4,0,1,23.8,1.73
0,134.8314606741573,89,0,1,16.0,0.2
0,4708.695652173913,46,0,0,22.5,3.61
4,3686.9565217391305,69,0,0,20.0,4.24
1,900.0,22,1,1,18.7,0.33
5,2950.588235294117,85,0,0,15.6,4.18
2,2298.1132075471696,106,0,0,17.7,4.06
0,1385.4545454545455,110,0,0,22.0,2.54
2,2517.6470588235297,102,0,1,23.6,4.28
2,5918.181818181818,22,0,1,22.2,2.17
4,3006.060606060606,99,0,0,23.7,4.96
4,3291.176470588235,68,0,0,19.1,3.73
4,6342.857142857143,28,1,0,24.3,2.96
0,7963.636363636364,11,0,0,19.2,1.46
3,526.829268292683,82,0,0,19.3,0.72
0,8850.0,8,0,1,24.3,1.18
0,2855.769230769231,104,0,0,22.5,4.95
3,9553.846153846152,13,0,1,15.1,2.07
0,895.7746478873239,71,0,0,17.7,1.06
2,3073.469387755102,49,0,1,21.2,2.51
2,18262.5,16,0,0,19.2,4.87
0,2550.0,92,0,0,18.8,3.91
1,5088.0,25,1,1,24.7,2.12
1,2200.0,84,0,0,17.4,3.08
4,1159.322033898305,59,1,0,22.7,1.14
1,2822.7272727272725,88,0,0,15.2,4.14
1,127.27272727272727,66,0,1,16.7,0.14
3,354.2857142857143,105,1,0,20.6,0.62
3,1950.0,52,1,0,19.5,1.69
5,2763.934426229508,61,0,1,24.3,2.81
5,681.5533980582525,103,0,0,16.8,1.17
0,2720.3883495145633,103,0,0,20.7,4.67
1,2970.0,100,1,0,17.2,4.95
3,39000.0,3,1,1,24.1,1.95
3,1916.3265306122448,98,1,1,19.6,3.13
0,733.3333333333334,108,0,1,17.1,1.32
1,2678.5714285714284,112,0,1,22.8,5.0
3,539.3258426966293,89,0,1,17.0,0.8
0,929.4117647058823,102,1,1,25.0,1.58
1,5311.764705882353,34,1,0,20.9,3.01
2,1234.7826086956522,69,0,1,18.6,1.42
0,7028.5714285714275,35,0,0,23.3,4.1
5,21342.85714285714,7,1,1,24.7,2.49
3,4056.3380281690143,71,0,0,22.0,4.8
4,2150.0,84,0,1,16.7,3.01
5,56040.0,5,1,0,21.7,4.67
5,964.7058823529412,102,0,0,16.5,1.64
4,198.2608695652174,115,1,1,24.6,0.38
2,2661.5384615384614,39,0,1,18.9,1.73
5,37200.0,6,0,0,19.5,3.72
5,998.1308411214953,107,0,0,20.9,1.78
0,953.4246575342465,73,0,0,22.0,1.16
5,100.0,72,0,1,16.2,0.12
5,5746.153846153846,26,1,0,23.5,2.49
5,3093.75,32,1,0,22.5,1.65
4,1838.7096774193549,62,0,0,22.8,1.9
1,4684.615384615384,52,0,1,20.4,4.06
0,3103.448275862069,58,0,1,21.2,3.0
4,560.0,45,0,1,21.2,0.42
4,33675.0,8,0,1,17.9,4.49
1,16266.666666666666,18,1,0,19.0,4.88
2,7848.0,25,0,1,19.7,3.27
1,1421.5384615384614,65,1,1,15.6,1.54
0,1946.341463414634,41,1,0,21.6,1.33
3,1046.1538461538462,117,1,0,21.5,2.04
5,1177.7777777777778,108,0,0,20.0,2.12
4,10117.241379310344,29,1,1,23.9,4.89
3,7162.5,16,1,1,22.8,1.91
5,2377.777777777778,27,0,1,16.3,1.07
4,3000.0,19,0,1,15.6,0.95
5,1688.3720930232557,86,0,1,23.0,2.42
5,1070.4545454545455,88,1,1,20.3,1.57
3,795.6521739130435,92,0,0,16.9,1.22
3,927.2727272727273,66,1,1,24.3,1.02
1,639.5604395604396,91,0,0,21.3,0.97
0,2623.529411764706,102,0,0,24.6,4.46
4,1620.0,90,1,0,20.5,2.43
1,1318.032786885246,61,0,0,22.5,1.34
5,1610.958904109589,73,1,0,17.3,1.96
4,3264.406779661017,59,0,1,23.4,3.21
5,1336.842105263158,114,0,1,22.7,2.54
4,164.7058823529412,102,0,0,21.2,0.28
4,4933.333333333333,45,0,0,19.5,3.7
2,1975.6097560975609,41,0,1,23.4,1.35
1,3361.904761904762,63,1,0,19.8,3.53
0,1208.1081081081081,74,1,1,17.4,1.49
5,6768.75,32,0,1,15.2,3.61
0,1453.448275862069,116,0,0,15.6,2.81
3,1726.9565217391305,115,0,1,19.8,3.31
4,2800.0,27,1,0,23.1,1.26
2,4100.0,54,1,1,23.5,3.69
1,10058.823529411764,17,0,0,18.0,2.85
